

#### d1 wikidata ####
16,555476188659668
17,64991283416748
51,06327533721924
63,330793380737305
48,07147979736328
70,81890106201172
22,93541431427002
27,3287296295166
57,74531364440918
21,63872718811035
23,041296005249023
26,43129825592041


#### d1 conj ####
27,135682106018066
29,221701622009277
20,345449447631836
25,72956085205078
21,140527725219727
40,78965187072754
19,64704990386963
27,029919624328613
18,350887298583984
21,442842483520508
27,228832244873047
31,116652488708496


#### d1 conj-strong ####
31,3218355178833
35,80915927886963
27,92210578918457
34,906554222106934
30,418086051940918
50,67129135131836
33,9092493057251
42,28956699371338
0,0
0,0
35,60469150543213
44,678568840026855


#### d1 ngraphs ####
50,36759376525879
70,11268138885498
60,834455490112305
98,53320121765137
41,986942291259766
95,24669647216797
33,41364860534668
51,66184902191162
39,793968200683594
50,963711738586426
40,69113731384277
47,969698905944824


#### d1 singleton ####
17,651987075805664
17,954254150390625
>255.32
>316.65
>240.36
>354.09
26,430773735046387
28,822827339172363
>288.73
>108.19
26,728463172912598
29,122281074523926


#### d1 rdfstar ####
17,153167724609375
17,75057315826416
48,3734130859375
57,94329643249512
60,13321876525879
83,5780143737793
22,34029769897461
25,828194618225098
16,757965087890625
18,552660942077637
21,938586235046387
24,833321571350098
